moves_list
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Bc4'] 
['1.e4', 'Nf6', '2.e5', 'Ng8'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.exd6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.f4'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.f4', 'g6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.f4', 'dxe5', '6.fxe5', 'Nc6', '7.Be3'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.f4', 'Bf5'] 
['1.e4', 'Nf6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.c4', 'Nb6', '4.c5', 'Nd5', '5.Nc3', 'e6', '6.Bc4'] 
['1.e4', 'Nf6', '2.d3'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'g6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Bg4', '5.c4', 'Nb6', '6.Be2'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'g6', '5.Bc4', 'Nb6', '6.Bb3', 'Bg7', '7.a4'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'dxe5'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'dxe5', '5.Nxe5', 'c6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Nc6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Bg4'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Bg4', '5.h3'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Nb6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.Nc3'] 
['1.e4', 'Nf6', '2.Nc3', 'd5'] 
['1.e4', 'Nf6', '2.Nc3', 'd5', '3.e5', 'Nfd7', '4.e6'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.c4'] 
['1.e4', 'Nf6', '2.e5', 'Nd5', '3.c4', 'Nb6', '4.c5'] 
['1.a3'] 
['1.d4', 'Nf6', '2.c4', 'c5', '3.d5', 'b5', '4.cxb5', 'a6', '5.bxa6', 'g6', '6.Nc3', 'Bxa6', '7.f4'] 
